Member_number,Date,itemDescription,year,month,day,day_of_week
4217,2015-11-23,pork,2015,11,23,0
1334,2015-07-06,chicken,2015,7,6,0
2499,2015-11-22,root vegetables,2015,11,22,6
3585,2015-07-21,citrus fruit,2015,7,21,1
3161,2015-08-11,fruit/vegetable juice,2015,8,11,1
2434,2015-06-06,beef,2015,6,6,5
4448,2015-06-01,frankfurter,2015,6,1,0
4597,2015-07-13,frankfurter,2015,7,13,0
4584,2015-09-10,beef,2015,9,10,3
1606,2015-10-03,ham,2015,10,3,5
3323,2015-12-11,shopping bags,2015,12,11,4
1308,2015-03-14,pork,2015,3,14,5
1331,2015-07-10,condensed milk,2015,7,10,4
2386,2015-01-30,chicken,2015,1,30,4
3910,2015-02-28,sausage,2015,2,28,5
4274,2015-01-08,bottled beer,2015,1,8,3
3101,2015-01-21,chicken,2015,1,21,2
4416,2015-12-23,finished products,2015,12,23,2
2375,2015-09-12,pork,2015,9,12,5
1819,2015-09-09,root vegetables,2015,9,9,2
3981,2015-02-10,domestic eggs,2015,2,10,1
3553,2015-01-06,domestic eggs,2015,1,6,1
3846,2015-01-28,bottled water,2015,1,28,2
3037,2015-02-23,cling film/bags,2015,2,23,0
3469,2015-09-02,other vegetables,2015,9,2,2
1601,2015-09-12,whole milk,2015,9,12,5
4040,2015-03-03,sausage,2015,3,3,1
3926,2015-07-06,sausage,2015,7,6,0
4201,2015-10-14,tropical fruit,2015,10,14,2
4274,2015-09-30,frankfurter,2015,9,30,2
2665,2015-04-13,frozen potato products,2015,4,13,0
3153,2015-08-10,frankfurter,2015,8,10,0
2691,2015-07-09,frankfurter,2015,7,9,3
4022,2015-07-31,chicken,2015,7,31,4
3716,2015-10-11,tropical fruit,2015,10,11,6
4537,2015-12-10,bottled beer,2015,12,10,3
4875,2015-11-06,citrus fruit,2015,11,6,4
3822,2015-09-25,hamburger meat,2015,9,25,4
3609,2015-12-12,chicken,2015,12,12,5
4428,2015-08-23,pork,2015,8,23,6
3947,2015-04-16,rolls/buns,2015,4,16,3
2448,2015-08-17,bottled water,2015,8,17,0
2688,2015-11-04,sausage,2015,11,4,2
3764,2015-07-24,frozen potato products,2015,7,24,4
4523,2015-08-24,frankfurter,2015,8,24,0
3698,2015-08-30,sausage,2015,8,30,6
3898,2015-08-21,tropical fruit,2015,8,21,4
1761,2015-02-10,bottled beer,2015,2,10,1
2689,2015-11-01,bottled beer,2015,11,1,6
1627,2015-11-04,rolls/buns,2015,11,4,2
4629,2015-11-16,citrus fruit,2015,11,16,0
2790,2015-12-30,yogurt,2015,12,30,2
4496,2015-01-23,turkey,2015,1,23,4
1934,2015-02-27,soda,2015,2,27,4
2513,2015-12-02,canned beer,2015,12,2,2
3298,2015-01-28,canned beer,2015,1,28,2
4214,2015-03-20,sausage,2015,3,20,4
2480,2015-08-14,pork,2015,8,14,4
4962,2015-03-29,Instant food products,2015,3,29,6
3960,2015-06-20,frankfurter,2015,6,20,5
2074,2015-01-23,oil,2015,1,23,4
2625,2015-03-10,chicken,2015,3,10,1
1557,2015-04-08,beef,2015,4,8,2
2007,2015-08-28,dessert,2015,8,28,4
2120,2015-07-10,pork,2015,7,10,4
4289,2015-08-09,curd,2015,8,9,6
2356,2015-01-31,chicken,2015,1,31,5
4301,2015-09-30,whipped/sour cream,2015,9,30,2
2950,2015-07-02,frankfurter,2015,7,2,3
2263,2015-02-07,frankfurter,2015,2,7,5
3186,2015-11-25,liver loaf,2015,11,25,2
2655,2015-01-07,pork,2015,1,7,2
1491,2015-06-18,frankfurter,2015,6,18,3
2069,2015-10-02,pork,2015,10,2,4
3012,2015-09-20,pork,2015,9,20,6
2681,2015-02-24,soda,2015,2,24,1
4144,2015-06-11,root vegetables,2015,6,11,3
3919,2015-07-10,whipped/sour cream,2015,7,10,4
2777,2015-01-06,chocolate,2015,1,6,1
4119,2015-09-05,whole milk,2015,9,5,5
3597,2015-06-23,pork,2015,6,23,1
2110,2015-05-15,coffee,2015,5,15,4
3523,2015-04-19,rolls/buns,2015,4,19,6
3364,2015-09-14,citrus fruit,2015,9,14,0
3759,2015-08-09,citrus fruit,2015,8,9,6
4014,2015-11-15,soda,2015,11,15,6
3140,2015-08-27,cream cheese ,2015,8,27,3
2787,2015-06-24,soda,2015,6,24,2
2525,2015-11-16,chicken,2015,11,16,0
2555,2015-05-12,frozen fish,2015,5,12,1
2419,2015-07-04,sausage,2015,7,4,5
4257,2015-08-21,beef,2015,8,21,4
4267,2015-06-16,ham,2015,6,16,1
2364,2015-08-09,chicken,2015,8,9,6
4008,2015-04-05,herbs,2015,4,5,6
1231,2015-06-28,grapes,2015,6,28,6
1651,2015-06-05,tropical fruit,2015,6,5,4
1371,2015-11-05,frankfurter,2015,11,5,3
2501,2015-09-09,onions,2015,9,9,2
1467,2015-02-05,sausage,2015,2,5,3
1015,2015-04-05,citrus fruit,2015,4,5,6
4697,2015-10-02,hamburger meat,2015,10,2,4
2727,2015-09-30,frankfurter,2015,9,30,2
3592,2015-10-06,sausage,2015,10,6,1
1279,2015-07-19,root vegetables,2015,7,19,6
1708,2015-02-04,oil,2015,2,4,2
2305,2015-05-01,canned beer,2015,5,1,4
3294,2015-03-07,newspapers,2015,3,7,5
4147,2015-09-16,pip fruit,2015,9,16,2
3850,2015-03-09,coffee,2015,3,9,0
1624,2015-12-22,red/blush wine,2015,12,22,1
3023,2015-06-05,onions,2015,6,5,4
2771,2015-08-26,frankfurter,2015,8,26,2
1144,2015-01-04,meat,2015,1,4,6
3938,2015-05-18,whole milk,2015,5,18,0
4180,2015-07-09,dessert,2015,7,9,3
1053,2015-09-07,hamburger meat,2015,9,7,0
2671,2015-07-27,chewing gum,2015,7,27,0
2001,2015-09-09,bottled water,2015,9,9,2
2095,2015-09-29,beverages,2015,9,29,1
3245,2015-08-12,whole milk,2015,8,12,2
4878,2015-04-18,citrus fruit,2015,4,18,5
3489,2015-09-03,tropical fruit,2015,9,3,3
3300,2015-07-25,cat food,2015,7,25,5
3090,2015-02-14,whole milk,2015,2,14,5
4441,2015-02-18,soda,2015,2,18,2
1242,2015-05-18,sausage,2015,5,18,0
1190,2015-11-06,root vegetables,2015,11,6,4
1983,2015-06-07,berries,2015,6,7,6
1872,2015-08-24,other vegetables,2015,8,24,0
4291,2015-09-12,sausage,2015,9,12,5
4400,2015-11-12,beverages,2015,11,12,3
1628,2015-05-02,chicken,2015,5,2,5
1345,2015-03-21,whole milk,2015,3,21,5
2732,2015-02-04,sausage,2015,2,4,2
3410,2015-10-29,ham,2015,10,29,3
1920,2015-09-02,whole milk,2015,9,2,2
3241,2015-09-20,root vegetables,2015,9,20,6
2962,2015-04-26,citrus fruit,2015,4,26,6
2492,2015-10-04,frankfurter,2015,10,4,6
2416,2015-05-11,ice cream,2015,5,11,0
1538,2015-08-03,sausage,2015,8,3,0
3801,2015-10-23,root vegetables,2015,10,23,4
3202,2015-09-29,ham,2015,9,29,1
4471,2015-02-28,coffee,2015,2,28,5
4939,2015-10-14,citrus fruit,2015,10,14,2
2575,2015-03-13,pot plants,2015,3,13,4
4419,2015-12-23,other vegetables,2015,12,23,2
4217,2015-01-12,whole milk,2015,1,12,0
1968,2015-10-01,zwieback,2015,10,1,3
3084,2015-12-08,chicken,2015,12,8,1
4807,2015-06-18,butter,2015,6,18,3
4781,2015-11-22,ham,2015,11,22,6
2432,2015-06-10,whole milk,2015,6,10,2
2951,2015-05-09,citrus fruit,2015,5,9,5
1452,2015-09-05,ham,2015,9,5,5
1603,2015-07-23,canned beer,2015,7,23,3
4727,2015-11-21,frankfurter,2015,11,21,5
4751,2015-11-19,chicken,2015,11,19,3
4296,2015-01-24,frankfurter,2015,1,24,5
2555,2015-11-11,bottled beer,2015,11,11,2
1416,2015-06-20,other vegetables,2015,6,20,5
1919,2015-08-18,frozen potato products,2015,8,18,1
2069,2015-02-07,chicken,2015,2,7,5
4509,2015-07-23,sausage,2015,7,23,3
4864,2015-07-22,canned beer,2015,7,22,2
1575,2015-04-01,yogurt,2015,4,1,2
2969,2015-09-28,frozen meals,2015,9,28,0
4301,2015-12-20,canned fruit,2015,12,20,6
3855,2015-02-12,butter,2015,2,12,3
3202,2015-04-16,yogurt,2015,4,16,3
2167,2015-03-14,citrus fruit,2015,3,14,5
4148,2015-07-01,meat,2015,7,1,2
2517,2015-01-28,root vegetables,2015,1,28,2
2840,2015-03-24,frankfurter,2015,3,24,1
1212,2015-06-19,tropical fruit,2015,6,19,4
2735,2015-01-06,yogurt,2015,1,6,1
1212,2015-07-31,root vegetables,2015,7,31,4
1324,2015-03-26,yogurt,2015,3,26,3
2431,2015-06-29,oil,2015,6,29,0
4526,2015-08-06,citrus fruit,2015,8,6,3
1662,2015-12-06,beef,2015,12,6,6
3802,2015-10-15,citrus fruit,2015,10,15,3
2532,2015-08-01,dessert,2015,8,1,5
1316,2015-03-26,curd,2015,3,26,3
2304,2015-01-07,bottled water,2015,1,7,2
1955,2015-02-13,sausage,2015,2,13,4
2243,2015-01-31,herbs,2015,1,31,5
3859,2015-03-08,dog food,2015,3,8,6
3156,2015-02-08,packaged fruit/vegetables,2015,2,8,6
4605,2015-10-23,frankfurter,2015,10,23,4
1864,2015-09-27,finished products,2015,9,27,6
4102,2015-05-13,oil,2015,5,13,2
4835,2015-05-22,curd,2015,5,22,4
1668,2015-03-14,herbs,2015,3,14,5
3130,2015-02-05,sausage,2015,2,5,3
1110,2015-11-20,whole milk,2015,11,20,4
2240,2015-07-07,sausage,2015,7,7,1
4647,2015-02-17,soda,2015,2,17,1
3872,2015-07-02,whole milk,2015,7,2,3
3184,2015-10-24,root vegetables,2015,10,24,5
4623,2015-08-07,sugar,2015,8,7,4
2111,2015-02-25,cream cheese ,2015,2,25,2
3068,2015-06-19,other vegetables,2015,6,19,4
4533,2015-05-21,frozen fruits,2015,5,21,3
3926,2015-06-30,whipped/sour cream,2015,6,30,1
1605,2015-06-18,yogurt,2015,6,18,3
4468,2015-06-15,pork,2015,6,15,0
2041,2015-09-24,grapes,2015,9,24,3
3835,2015-11-05,whole milk,2015,11,5,3
3601,2015-03-02,sausage,2015,3,2,0
2307,2015-06-29,canned beer,2015,6,29,0
1767,2015-04-18,meat,2015,4,18,5
4251,2015-12-21,soda,2015,12,21,0
1365,2015-02-11,bottled beer,2015,2,11,2
1665,2015-11-04,whole milk,2015,11,4,2
2447,2015-06-25,chicken,2015,6,25,3
4825,2015-05-09,pip fruit,2015,5,9,5
4844,2015-02-23,pork,2015,2,23,0
3319,2015-03-03,oil,2015,3,3,1
2536,2015-07-11,whole milk,2015,7,11,5
1857,2015-10-08,pip fruit,2015,10,8,3
4133,2015-07-27,root vegetables,2015,7,27,0
2128,2015-06-20,ham,2015,6,20,5
1793,2015-09-24,ice cream,2015,9,24,3
3445,2015-02-15,sausage,2015,2,15,6
2041,2015-07-17,detergent,2015,7,17,4
1178,2015-03-23,oil,2015,3,23,0
2080,2015-04-21,tropical fruit,2015,4,21,1
1928,2015-09-17,photo/film,2015,9,17,3
2884,2015-08-05,UHT-milk,2015,8,5,2
3532,2015-01-25,meat,2015,1,25,6
1892,2015-11-20,grapes,2015,11,20,4
2880,2015-03-11,liver loaf,2015,3,11,2
2033,2015-02-14,beef,2015,2,14,5
3176,2015-01-17,root vegetables,2015,1,17,5
3768,2015-01-16,pork,2015,1,16,4
3404,2015-07-12,butter milk,2015,7,12,6
3891,2015-11-22,brown bread,2015,11,22,6
2974,2015-12-26,herbs,2015,12,26,5
3831,2015-07-03,newspapers,2015,7,3,4
1924,2015-02-03,brandy,2015,2,3,1
4182,2015-08-21,pastry,2015,8,21,4
1811,2015-05-24,beverages,2015,5,24,6
1283,2015-11-13,UHT-milk,2015,11,13,4
2154,2015-03-15,cream cheese ,2015,3,15,6
4543,2015-10-23,rolls/buns,2015,10,23,4
4642,2015-03-12,rolls/buns,2015,3,12,3
2360,2015-02-18,rolls/buns,2015,2,18,2
3231,2015-03-31,sausage,2015,3,31,1
1356,2015-08-09,hard cheese,2015,8,9,6
4895,2015-10-08,canned beer,2015,10,8,3
3390,2015-01-12,canned beer,2015,1,12,0
4495,2015-06-03,citrus fruit,2015,6,3,2
1202,2015-04-22,yogurt,2015,4,22,2
1811,2015-09-23,yogurt,2015,9,23,2
4996,2015-02-20,salty snack,2015,2,20,4
3291,2015-02-08,tropical fruit,2015,2,8,6
1878,2015-11-27,citrus fruit,2015,11,27,4
1483,2015-06-27,rolls/buns,2015,6,27,5
4683,2015-09-23,whipped/sour cream,2015,9,23,2
4386,2015-08-09,citrus fruit,2015,8,9,6
4825,2015-11-15,butter milk,2015,11,15,6
2549,2015-05-13,other vegetables,2015,5,13,2
4965,2015-11-10,canned beer,2015,11,10,1
3251,2015-10-09,soda,2015,10,9,4
4932,2015-11-20,tropical fruit,2015,11,20,4
3986,2015-07-23,coffee,2015,7,23,3
1616,2015-01-19,ham,2015,1,19,0
1239,2015-02-07,whipped/sour cream,2015,2,7,5
4993,2015-09-02,citrus fruit,2015,9,2,2
2762,2015-12-18,dessert,2015,12,18,4
1035,2015-08-09,whole milk,2015,8,9,6
4717,2015-05-16,canned beer,2015,5,16,5
4662,2015-11-17,rolls/buns,2015,11,17,1
4267,2015-10-10,fish,2015,10,10,5
3500,2015-01-18,meat,2015,1,18,6
4866,2015-08-21,sausage,2015,8,21,4
2492,2015-06-18,other vegetables,2015,6,18,3
1044,2015-09-02,tropical fruit,2015,9,2,2
2070,2015-12-19,baby cosmetics,2015,12,19,5
3761,2015-06-08,citrus fruit,2015,6,8,0
1145,2015-07-10,tropical fruit,2015,7,10,4
3324,2015-06-06,spices,2015,6,6,5
4455,2015-12-26,sausage,2015,12,26,5
3465,2015-07-30,sausage,2015,7,30,3
3940,2015-01-16,beef,2015,1,16,4
4934,2015-10-31,canned beer,2015,10,31,5
3793,2015-01-22,canned beer,2015,1,22,3
2956,2015-02-12,rolls/buns,2015,2,12,3
3662,2015-07-20,whole milk,2015,7,20,0
3755,2015-04-14,root vegetables,2015,4,14,1
4173,2015-11-05,yogurt,2015,11,5,3
3353,2015-06-03,onions,2015,6,3,2
2193,2015-03-09,hamburger meat,2015,3,9,0
2086,2015-02-06,napkins,2015,2,6,4
1570,2015-03-20,other vegetables,2015,3,20,4
1233,2015-07-31,chicken,2015,7,31,4
4647,2015-01-30,meat,2015,1,30,4
3178,2015-03-01,rolls/buns,2015,3,1,6
2765,2015-04-09,butter,2015,4,9,3
4221,2015-04-01,sausage,2015,4,1,2
4265,2015-12-12,rolls/buns,2015,12,12,5
3532,2015-05-26,other vegetables,2015,5,26,1
1967,2015-03-09,frankfurter,2015,3,9,0
3474,2015-02-25,newspapers,2015,2,25,2
4075,2015-05-01,turkey,2015,5,1,4
1551,2015-11-05,onions,2015,11,5,3
4609,2015-07-11,whole milk,2015,7,11,5
1975,2015-09-26,yogurt,2015,9,26,5
4859,2015-09-09,whipped/sour cream,2015,9,9,2
1502,2015-10-31,frozen vegetables,2015,10,31,5
1901,2015-04-21,citrus fruit,2015,4,21,1
4487,2015-07-20,onions,2015,7,20,0
3364,2015-06-29,sausage,2015,6,29,0
2537,2015-10-14,other vegetables,2015,10,14,2
4719,2015-08-22,frankfurter,2015,8,22,5
2348,2015-11-12,domestic eggs,2015,11,12,3
4294,2015-03-12,rolls/buns,2015,3,12,3
3774,2015-12-01,bottled beer,2015,12,1,1
2250,2015-10-15,waffles,2015,10,15,3
3034,2015-07-05,condensed milk,2015,7,5,6
1799,2015-07-08,canned beer,2015,7,8,2
1278,2015-07-11,meat,2015,7,11,5
2837,2015-04-22,whole milk,2015,4,22,2
3056,2015-08-15,liver loaf,2015,8,15,5
2447,2015-10-15,frankfurter,2015,10,15,3
1452,2015-10-27,chicken,2015,10,27,1
4838,2015-01-31,frankfurter,2015,1,31,5
4822,2015-04-07,pip fruit,2015,4,7,1
2571,2015-02-05,root vegetables,2015,2,5,3
4310,2015-02-27,pip fruit,2015,2,27,4
2133,2015-11-07,pork,2015,11,7,5
3568,2015-10-17,other vegetables,2015,10,17,5
4474,2015-10-11,pastry,2015,10,11,6
3354,2015-01-27,sausage,2015,1,27,1
2389,2015-04-06,processed cheese,2015,4,6,0
1742,2015-05-07,napkins,2015,5,7,3
2574,2015-05-18,meat,2015,5,18,0
4498,2015-07-04,pastry,2015,7,4,5
4612,2015-04-30,sausage,2015,4,30,3
1075,2015-01-29,pip fruit,2015,1,29,3
1371,2015-01-22,frozen vegetables,2015,1,22,3
2960,2015-06-21,citrus fruit,2015,6,21,6
4434,2015-02-23,other vegetables,2015,2,23,0
1378,2015-12-10,frankfurter,2015,12,10,3
1615,2015-01-25,sausage,2015,1,25,6
2503,2015-08-02,beef,2015,8,2,6
2381,2015-01-04,hamburger meat,2015,1,4,6
1613,2015-08-25,yogurt,2015,8,25,1
1031,2015-08-26,beverages,2015,8,26,2
3200,2015-01-04,whole milk,2015,1,4,6
1138,2015-02-24,rolls/buns,2015,2,24,1
4958,2015-05-24,tropical fruit,2015,5,24,6
4858,2015-02-15,citrus fruit,2015,2,15,6
1616,2015-08-12,whole milk,2015,8,12,2
1270,2015-03-02,citrus fruit,2015,3,2,0
2347,2015-01-27,soda,2015,1,27,1
2076,2015-04-12,frankfurter,2015,4,12,6
3597,2015-07-07,sausage,2015,7,7,1
2151,2015-09-29,napkins,2015,9,29,1
2940,2015-07-11,yogurt,2015,7,11,5
3475,2015-12-14,herbs,2015,12,14,0
2715,2015-03-15,sausage,2015,3,15,6
3644,2015-02-10,yogurt,2015,2,10,1
4573,2015-01-25,pork,2015,1,25,6
1649,2015-11-29,curd,2015,11,29,6
4079,2015-08-17,frankfurter,2015,8,17,0
1844,2015-11-13,frankfurter,2015,11,13,4
1420,2015-08-12,curd,2015,8,12,2
2879,2015-07-23,liver loaf,2015,7,23,3
2440,2015-08-06,pork,2015,8,6,3
4095,2015-12-29,specialty bar,2015,12,29,1
2437,2015-11-15,ice cream,2015,11,15,6
1324,2015-01-24,specialty bar,2015,1,24,5
4184,2015-12-15,yogurt,2015,12,15,1
4574,2015-03-10,frozen vegetables,2015,3,10,1
4881,2015-03-26,rolls/buns,2015,3,26,3
3790,2015-04-08,pastry,2015,4,8,2
2616,2015-03-17,pork,2015,3,17,1
1275,2015-04-06,curd,2015,4,6,0
2131,2015-04-15,beef,2015,4,15,2
2509,2015-03-02,yogurt,2015,3,2,0
3077,2015-08-31,chicken,2015,8,31,0
3653,2015-12-09,detergent,2015,12,9,2
2922,2015-12-26,pip fruit,2015,12,26,5
2971,2015-01-27,coffee,2015,1,27,1
1463,2015-09-28,tropical fruit,2015,9,28,0
4323,2015-11-10,sauces,2015,11,10,1
2632,2015-01-07,pork,2015,1,7,2
1481,2015-04-06,yogurt,2015,4,6,0
1283,2015-06-03,napkins,2015,6,3,2
1164,2015-01-02,other vegetables,2015,1,2,4
4275,2015-11-09,chicken,2015,11,9,0
2600,2015-02-18,pork,2015,2,18,2
2084,2015-08-15,root vegetables,2015,8,15,5
1621,2015-02-20,ham,2015,2,20,4
1291,2015-06-03,whole milk,2015,6,3,2
3301,2015-04-25,soda,2015,4,25,5
2715,2015-08-01,rolls/buns,2015,8,1,5
4150,2015-08-26,tropical fruit,2015,8,26,2
1775,2015-11-10,tropical fruit,2015,11,10,1
2073,2015-04-02,sausage,2015,4,2,3
1912,2015-08-22,bottled beer,2015,8,22,5
4033,2015-06-06,turkey,2015,6,6,5
4877,2015-02-28,meat,2015,2,28,5
2590,2015-09-28,whole milk,2015,9,28,0
3982,2015-01-28,soda,2015,1,28,2
2782,2015-09-06,rolls/buns,2015,9,6,6
2100,2015-01-27,dessert,2015,1,27,1
1785,2015-12-21,sausage,2015,12,21,0
3166,2015-04-28,pork,2015,4,28,1
2251,2015-03-29,hamburger meat,2015,3,29,6
1528,2015-02-20,sausage,2015,2,20,4
2012,2015-03-29,rolls/buns,2015,3,29,6
3309,2015-10-28,misc. beverages,2015,10,28,2
1220,2015-08-09,pastry,2015,8,9,6
2165,2015-06-17,soda,2015,6,17,2
3337,2015-01-02,whole milk,2015,1,2,4
4058,2015-12-30,domestic eggs,2015,12,30,2
1000,2015-05-27,soda,2015,5,27,2
3357,2015-08-06,pip fruit,2015,8,6,3
2222,2015-08-01,yogurt,2015,8,1,5
1207,2015-11-14,frankfurter,2015,11,14,5
3511,2015-07-06,specialty chocolate,2015,7,6,0
2171,2015-02-08,sausage,2015,2,8,6
3078,2015-01-09,oil,2015,1,9,4
3879,2015-06-25,tropical fruit,2015,6,25,3
3472,2015-06-02,citrus fruit,2015,6,2,1
4519,2015-03-11,napkins,2015,3,11,2
3275,2015-10-26,whole milk,2015,10,26,0
1763,2015-09-13,coffee,2015,9,13,6
4619,2015-05-27,tropical fruit,2015,5,27,2
2955,2015-05-06,canned beer,2015,5,6,2
2700,2015-11-15,bottled beer,2015,11,15,6
2830,2015-05-28,canned beer,2015,5,28,3
4940,2015-08-21,rum,2015,8,21,4
1311,2015-06-29,rolls/buns,2015,6,29,0
4116,2015-01-05,pastry,2015,1,5,0
1476,2015-03-22,whole milk,2015,3,22,6
2918,2015-04-11,grapes,2015,4,11,5
4121,2015-01-11,whole milk,2015,1,11,6
1824,2015-01-11,yogurt,2015,1,11,6
4293,2015-05-07,root vegetables,2015,5,7,3
4308,2015-05-12,pastry,2015,5,12,1
2998,2015-07-14,canned beer,2015,7,14,1
2874,2015-05-01,sausage,2015,5,1,4
1281,2015-11-02,tropical fruit,2015,11,2,0
3471,2015-01-14,frankfurter,2015,1,14,2
1936,2015-08-15,rolls/buns,2015,8,15,5
4163,2015-05-30,frankfurter,2015,5,30,5
3369,2015-12-29,sausage,2015,12,29,1
2335,2015-01-13,whole milk,2015,1,13,1
3957,2015-02-15,whole milk,2015,2,15,6
4841,2015-02-05,whole milk,2015,2,5,3
2184,2015-07-12,ham,2015,7,12,6
3118,2015-12-29,whole milk,2015,12,29,1
4728,2015-04-25,beef,2015,4,25,5
2527,2015-11-08,domestic eggs,2015,11,8,6
2926,2015-08-11,soda,2015,8,11,1
1773,2015-01-11,whole milk,2015,1,11,6
1801,2015-12-06,ham,2015,12,6,6
1916,2015-11-13,curd,2015,11,13,4
2523,2015-04-04,bottled water,2015,4,4,5
2550,2015-08-06,butter milk,2015,8,6,3
1319,2015-05-19,pork,2015,5,19,1
1649,2015-05-16,pork,2015,5,16,5
2202,2015-07-08,turkey,2015,7,8,2
2569,2015-07-16,cream cheese ,2015,7,16,3
2925,2015-08-22,tropical fruit,2015,8,22,5
2293,2015-06-24,rolls/buns,2015,6,24,2
2190,2015-11-10,citrus fruit,2015,11,10,1
2234,2015-12-24,frankfurter,2015,12,24,3
4779,2015-10-24,whipped/sour cream,2015,10,24,5
3031,2015-10-27,tropical fruit,2015,10,27,1
4275,2015-05-07,frankfurter,2015,5,7,3
2696,2015-09-05,sausage,2015,9,5,5
4453,2015-02-08,sausage,2015,2,8,6
4776,2015-08-02,sausage,2015,8,2,6
3471,2015-12-10,sliced cheese,2015,12,10,3
3143,2015-01-21,candy,2015,1,21,2
4312,2015-04-22,tropical fruit,2015,4,22,2
3327,2015-04-05,pip fruit,2015,4,5,6
4344,2015-06-05,citrus fruit,2015,6,5,4
1718,2015-11-03,hamburger meat,2015,11,3,1
3041,2015-10-07,other vegetables,2015,10,7,2
4110,2015-06-02,nuts/prunes,2015,6,2,1
2947,2015-04-28,ham,2015,4,28,1
4280,2015-06-12,ham,2015,6,12,4
3022,2015-11-15,butter,2015,11,15,6
1941,2015-09-16,napkins,2015,9,16,2
4494,2015-06-08,beef,2015,6,8,0
2749,2015-06-22,frankfurter,2015,6,22,0
1241,2015-05-22,meat,2015,5,22,4
2066,2015-03-23,whole milk,2015,3,23,0
1777,2015-11-07,sausage,2015,11,7,5
2178,2015-03-05,sausage,2015,3,5,3
4727,2015-11-04,rolls/buns,2015,11,4,2
3433,2015-01-10,root vegetables,2015,1,10,5
3035,2015-08-11,sausage,2015,8,11,1
1464,2015-07-03,sausage,2015,7,3,4
4161,2015-03-05,meat,2015,3,5,3
2654,2015-11-25,sausage,2015,11,25,2
2206,2015-03-21,citrus fruit,2015,3,21,5
3950,2015-05-12,chocolate,2015,5,12,1
1706,2015-07-03,coffee,2015,7,3,4
3726,2015-05-26,sausage,2015,5,26,1
3325,2015-11-29,beef,2015,11,29,6
3732,2015-11-29,berries,2015,11,29,6
2563,2015-06-01,frozen meals,2015,6,1,0
4924,2015-01-03,beef,2015,1,3,5
1742,2015-12-12,sausage,2015,12,12,5
4929,2015-07-27,rolls/buns,2015,7,27,0
1092,2015-09-10,frankfurter,2015,9,10,3
1907,2015-07-19,sausage,2015,7,19,6
3540,2015-05-03,pip fruit,2015,5,3,6
2990,2015-11-07,grapes,2015,11,7,5
4088,2015-05-03,chocolate marshmallow,2015,5,3,6
2028,2015-12-20,coffee,2015,12,20,6
3026,2015-01-24,soda,2015,1,24,5
2209,2015-04-20,bottled beer,2015,4,20,0
4071,2015-10-15,butter,2015,10,15,3
4393,2015-11-24,fruit/vegetable juice,2015,11,24,1
2047,2015-08-05,meat,2015,8,5,2
4610,2015-07-19,pip fruit,2015,7,19,6
1269,2015-09-30,other vegetables,2015,9,30,2
3629,2015-11-01,frankfurter,2015,11,1,6
1899,2015-10-19,long life bakery product,2015,10,19,0
1982,2015-02-24,tropical fruit,2015,2,24,1
4977,2015-04-19,whole milk,2015,4,19,6
2399,2015-12-02,canned beer,2015,12,2,2
2675,2015-09-15,canned beer,2015,9,15,1
2760,2015-12-07,other vegetables,2015,12,7,0
2058,2015-04-06,soda,2015,4,6,0
4065,2015-07-07,rolls/buns,2015,7,7,1
1450,2015-11-16,bags,2015,11,16,0
3739,2015-06-08,rolls/buns,2015,6,8,0
3128,2015-07-21,dessert,2015,7,21,1
2331,2015-11-28,canned beer,2015,11,28,5
2505,2015-10-10,butter,2015,10,10,5
3758,2015-01-13,whole milk,2015,1,13,1
3574,2015-02-13,canned beer,2015,2,13,4
2563,2015-12-29,coffee,2015,12,29,1
2128,2015-09-07,chicken,2015,9,7,0
1230,2015-01-27,soda,2015,1,27,1
4373,2015-12-08,beef,2015,12,8,1
1693,2015-05-09,spread cheese,2015,5,9,5
2743,2015-07-13,citrus fruit,2015,7,13,0
1612,2015-05-03,canned beer,2015,5,3,6
1835,2015-06-22,rolls/buns,2015,6,22,0
3574,2015-08-05,pip fruit,2015,8,5,2
4102,2015-08-04,pip fruit,2015,8,4,1
1283,2015-03-15,whole milk,2015,3,15,6
4719,2015-04-10,chocolate,2015,4,10,4
4596,2015-05-06,sausage,2015,5,6,2
1380,2015-05-13,pip fruit,2015,5,13,2
1150,2015-04-12,other vegetables,2015,4,12,6
2937,2015-06-20,dessert,2015,6,20,5
2495,2015-04-07,frankfurter,2015,4,7,1
3581,2015-12-25,citrus fruit,2015,12,25,4
3458,2015-04-27,citrus fruit,2015,4,27,0
3723,2015-03-14,pip fruit,2015,3,14,5
2249,2015-01-22,tropical fruit,2015,1,22,3
1430,2015-12-17,frankfurter,2015,12,17,3
3039,2015-11-28,pip fruit,2015,11,28,5
3455,2015-01-02,canned beer,2015,1,2,4
1831,2015-09-01,pork,2015,9,1,1
4831,2015-02-27,rolls/buns,2015,2,27,4
3816,2015-12-18,canned beer,2015,12,18,4
2314,2015-06-09,citrus fruit,2015,6,9,1
2743,2015-03-24,grapes,2015,3,24,1
1538,2015-11-30,tropical fruit,2015,11,30,0
3604,2015-04-15,frozen fish,2015,4,15,2
4734,2015-11-22,tropical fruit,2015,11,22,6
2363,2015-06-24,beverages,2015,6,24,2
1484,2015-08-27,sausage,2015,8,27,3
1764,2015-09-29,whole milk,2015,9,29,1
3595,2015-03-23,sausage,2015,3,23,0
4303,2015-12-25,pork,2015,12,25,4
2695,2015-07-01,whole milk,2015,7,1,2
