0,1,2,3,4,5,6,7,8,9,10
napkins,white bread,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
dessert,margarine,,,,,,,,,
ham,pastry,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
red/blush wine,dog food,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
fruit/vegetable juice,white bread,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
bottled water,bottled water,,,,,,,,,
soda,rolls/buns,shopping bags,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
white wine,rolls/buns,,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
beef,pip fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
root vegetables,chewing gum,chocolate,bottled beer,,,,,,,
soda,beef,,,,,,,,,
curd,cat food,,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
canned beer,shopping bags,,,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
herbs,soda,frozen vegetables,,,,,,,,
whole milk,bottled water,whole milk,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
cooking chocolate,chewing gum,,,,,,,,,
meat,butter milk,tropical fruit,specialty bar,newspapers,rolls/buns,,,,,
pork,beef,beef,bottled water,salty snack,flour,instant coffee,,,,
red/blush wine,cream cheese ,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
soda,domestic eggs,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
curd,soda,ice cream,,,,,,,,
pastry,sugar,,,,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
rolls/buns,soda,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
napkins,butter milk,cat food,shopping bags,,,,,,,
onions,berries,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
hard cheese,soda,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
ham,brown bread,,,,,,,,,
soda,brown bread,,,,,,,,,
whipped/sour cream,Instant food products,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
domestic eggs,vinegar,chocolate,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
frankfurter,ketchup,,,,,,,,,
curd,processed cheese,,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
pork,tropical fruit,,,,,,,,,
turkey,ham,whole milk,citrus fruit,pastry,soda,,,,,
rolls/buns,salty snack,,,,,,,,,
whole milk,pastry,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
other vegetables,liquor,,,,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
sausage,salt,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
whole milk,chocolate,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
dish cleaner,whole milk,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
canned beer,brown bread,,,,,,,,,
other vegetables,sweet spreads,,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
whole milk,waffles,,,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
whole milk,beef,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
beef,soft cheese,,,,,,,,,
sugar,flour,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
white bread,whole milk,white bread,whole milk,newspapers,rolls/buns,canned beer,whole milk,,,
root vegetables,misc. beverages,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
frankfurter,beef,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
tea,soda,,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
sugar,bottled water,cream cheese ,,,,,,,,
candy,chewing gum,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
other vegetables,newspapers,,,,,,,,,
dessert,pot plants,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
sausage,soda,cream cheese ,,,,,,,,
yogurt,tea,,,,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
meat,whole milk,bottled water,mayonnaise,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
meat,oil,candles,female sanitary products,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
pastry,cream cheese ,,,,,,,,,
pork,dishes,,,,,,,,,
chicken,onions,white bread,,,,,,,,
other vegetables,herbs,,,,,,,,,
popcorn,domestic eggs,canned beer,butter milk,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
candy,cake bar,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
whole milk,soda,,,,,,,,,
curd,soda,,,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
pastry,pastry,,,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
other vegetables,soda,UHT-milk,salty snack,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
curd,pip fruit,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
soda,misc. beverages,,,,,,,,,
waffles,instant coffee,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
beef,herbs,,,,,,,,,
coffee,berries,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
pip fruit,turkey,yogurt,root vegetables,other vegetables,chocolate,fruit/vegetable juice,,,,
whole milk,frozen vegetables,,,,,,,,,
soda,berries,,,,,,,,,
pork,sugar,,,,,,,,,
pork,soda,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
hygiene articles,newspapers,,,,,,,,,
UHT-milk,root vegetables,cake bar,,,,,,,,
other vegetables,tea,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
butter,frozen meals,,,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
bottled beer,newspapers,,,,,,,,,
white wine,processed cheese,,,,,,,,,
yogurt,chocolate,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
ham,yogurt,,,,,,,,,
napkins,butter,,,,,,,,,
other vegetables,curd,,,,,,,,,
specialty bar,cream cheese ,,,,,,,,,
chocolate,dessert,flour,,,,,,,,
yogurt,yogurt,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
whole milk,bottled water,,,,,,,,,
ham,bottled beer,,,,,,,,,
long life bakery product,shopping bags,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
hard cheese,meat,beverages,curd,fruit/vegetable juice,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
pork,salty snack,,,,,,,,,
brown bread,soda,,,,,,,,,
sausage,newspapers,newspapers,,,,,,,,
sausage,brown bread,,,,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
sausage,sausage,whole milk,canned fruit,cake bar,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
beverages,rice,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,brown bread,rolls/buns,sliced cheese,,,,,,,
cling film/bags,fruit/vegetable juice,,,,,,,,,
salty snack,semi-finished bread,sliced cheese,,,,,,,,
frankfurter,whipped/sour cream,other vegetables,,,,,,,,
hamburger meat,curd,,,,,,,,,
whole milk,cleaner,,,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
other vegetables,whole milk,bottled beer,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
whole milk,butter,,,,,,,,,
frozen vegetables,pasta,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
root vegetables,frankfurter,frankfurter,fruit/vegetable juice,bottled water,rolls/buns,detergent,bottled beer,male cosmetics,,
beef,citrus fruit,pastry,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
hamburger meat,ice cream,,,,,,,,,
root vegetables,soda,,,,,,,,,
root vegetables,whole milk,soda,,,,,,,,
shopping bags,snack products,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
sausage,dishes,rum,,,,,,,,
kitchen towels,bottled beer,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
specialty chocolate,soda,pet care,,,,,,,,
other vegetables,mustard,soups,,,,,,,,
bottled water,bottled water,,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
UHT-milk,soda,salty snack,,,,,,,,
beverages,shopping bags,,,,,,,,,
frankfurter,specialty chocolate,,,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
make up remover,shopping bags,,,,,,,,,
root vegetables,margarine,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
ham,canned beer,,,,,,,,,
sugar,soda,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
canned beer,long life bakery product,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
sliced cheese,onions,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
other vegetables,zwieback,oil,,,,,,,,
yogurt,frozen meals,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
pip fruit,pot plants,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
soda,curd,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
flour,pastry,,,,,,,,,
yogurt,misc. beverages,brown bread,napkins,,,,,,,
cat food,male cosmetics,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
domestic eggs,cat food,,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
canned beer,hygiene articles,,,,,,,,,
curd,rolls/buns,,,,,,,,,
pip fruit,soda,,,,,,,,,
beverages,shopping bags,,,,,,,,,
frankfurter,citrus fruit,newspapers,,,,,,,,
bottled beer,beverages,hard cheese,fruit/vegetable juice,,,,,,,
beef,rolls/buns,,,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
pip fruit,whole milk,brown bread,,,,,,,,
condensed milk,processed cheese,rolls/buns,,,,,,,,
other vegetables,curd,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
pasta,mustard,syrup,,,,,,,,
grapes,long life bakery product,,,,,,,,,
berries,other vegetables,,,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
spices,shopping bags,soda,newspapers,,,,,,,
ham,brown bread,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
margarine,yogurt,,,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
potato products,pip fruit,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
onions,butter,,,,,,,,,
candy,canned fish,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
chicken,soda,frozen meals,,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
other vegetables,soda,,,,,,,,,
margarine,soda,UHT-milk,,,,,,,,
shopping bags,napkins,,,,,,,,,
berries,long life bakery product,,,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
packaged fruit/vegetables,yogurt,bottled beer,,,,,,,,
whole milk,pip fruit,,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
citrus fruit,yogurt,salt,,,,,,,,
canned beer,hamburger meat,cake bar,,,,,,,,
beef,white wine,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
berries,cat food,pip fruit,specialty bar,,,,,,,
butter,long life bakery product,pickled vegetables,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
other vegetables,grapes,,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
misc. beverages,waffles,,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
chicken,condensed milk,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
beef,salty snack,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
salty snack,coffee,,,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
butter,coffee,,,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
frankfurter,UHT-milk,sliced cheese,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
other vegetables,yogurt,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
whole milk,chocolate,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
specialty bar,candles,,,,,,,,,
pip fruit,margarine,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
newspapers,butter,long life bakery product,,,,,,,,
pastry,onions,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
hamburger meat,dessert,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
pip fruit,yogurt,,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
hamburger meat,whole milk,root vegetables,hygiene articles,hygiene articles,brown bread,,,,,
rolls/buns,other vegetables,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pasta,shopping bags,,,,,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
tropical fruit,other vegetables,fruit/vegetable juice,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
pork,liquor,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
finished products,domestic eggs,margarine,,,,,,,,
ham,tropical fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
pickled vegetables,cling film/bags,,,,,,,,,
canned beer,canned beer,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
bags,yogurt,soda,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
margarine,mayonnaise,,,,,,,,,
liver loaf,frozen vegetables,soda,curd,,,,,,,
shopping bags,whole milk,,,,,,,,,
ham,rolls/buns,,,,,,,,,
chicken,chewing gum,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
white bread,beef,coffee,flour,,,,,,,
ham,specialty bar,,,,,,,,,
liquor,hygiene articles,,,,,,,,,
whipped/sour cream,softener,,,,,,,,,
packaged fruit/vegetables,shopping bags,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
newspapers,domestic eggs,,,,,,,,,
whole milk,cat food,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
waffles,pudding powder,,,,,,,,,
grapes,hard cheese,,,,,,,,,
root vegetables,white bread,,,,,,,,,
yogurt,butter milk,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
ice cream,grapes,,,,,,,,,
pork,canned beer,specialty bar,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
waffles,yogurt,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
hamburger meat,tropical fruit,bottled water,whipped/sour cream,flour,,,,,,
other vegetables,beef,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
bottled water,soda,margarine,candy,,,,,,,
salty snack,sugar,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
sausage,root vegetables,,,,,,,,,
other vegetables,dessert,,,,,,,,,
sausage,pastry,soda,,,,,,,,
ham,brown bread,,,,,,,,,
whole milk,newspapers,,,,,,,,,
napkins,packaged fruit/vegetables,shopping bags,,,,,,,,
pastry,yogurt,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
meat,sausage,other vegetables,shopping bags,,,,,,,
canned beer,curd,,,,,,,,,
citrus fruit,chewing gum,brown bread,,,,,,,,
root vegetables,popcorn,,,,,,,,,
chocolate,beverages,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
hamburger meat,candy,,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
rolls/buns,waffles,,,,,,,,,
sausage,other vegetables,mayonnaise,seasonal products,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
root vegetables,salty snack,,,,,,,,,
zwieback,salty snack,,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
coffee,salty snack,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
yogurt,butter,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,curd,curd cheese,misc. beverages,,,,,,,
yogurt,hygiene articles,,,,,,,,,
specialty bar,sliced cheese,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
root vegetables,bottled water,waffles,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
soda,pasta,curd cheese,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
napkins,mustard,,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
frankfurter,chocolate,,,,,,,,,
margarine,cream cheese ,misc. beverages,,,,,,,,
white bread,root vegetables,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
frankfurter,canned beer,,,,,,,,,
yogurt,coffee,,,,,,,,,
margarine,bottled water,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
meat,frozen vegetables,other vegetables,,,,,,,,
bottled beer,berries,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
liquor,rolls/buns,cream cheese ,,,,,,,,
sausage,pot plants,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
chicken,pastry,,,,,,,,,
soft cheese,cream cheese ,,,,,,,,,
pork,bottled water,,,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
tropical fruit,liquor (appetizer),,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
sausage,shopping bags,,,,,,,,,
tropical fruit,onions,,,,,,,,,
shopping bags,detergent,,,,,,,,,
beef,grapes,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
berries,packaged fruit/vegetables,tidbits,,,,,,,,
rolls/buns,soda,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
beverages,canned fish,,,,,,,,,
meat,pip fruit,,,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
pastry,dessert,,,,,,,,,
yogurt,yogurt,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
brown bread,soda,,,,,,,,,
root vegetables,canned beer,specialty cheese,rolls/buns,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
root vegetables,whole milk,,,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
sausage,bottled beer,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,candles,,,,,,,,,
soda,soft cheese,oil,,,,,,,,
pastry,dish cleaner,,,,,,,,,
chicken,beef,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
meat,UHT-milk,,,,,,,,,
root vegetables,white bread,,,,,,,,,
beef,grapes,,,,,,,,,
onions,curd,,,,,,,,,
sausage,spread cheese,,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
pork,whole milk,,,,,,,,,
rolls/buns,tropical fruit,soda,dessert,,,,,,,
frozen vegetables,dessert,,,,,,,,,
detergent,soft cheese,,,,,,,,,
whole milk,detergent,,,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
chicken,pork,,,,,,,,,
whole milk,rolls/buns,yogurt,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
cat food,other vegetables,,,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
liquor,UHT-milk,,,,,,,,,
semi-finished bread,spices,,,,,,,,,
beverages,whole milk,napkins,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
pip fruit,cat food,,,,,,,,,
sausage,shopping bags,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
meat,other vegetables,,,,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
root vegetables,frankfurter,specialty bar,packaged fruit/vegetables,hygiene articles,,,,,,
root vegetables,hygiene articles,,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
shopping bags,butter milk,,,,,,,,,
butter milk,margarine,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
frankfurter,dessert,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
spread cheese,soda,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
cat food,soda,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
whole milk,pork,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
sausage,pasta,,,,,,,,,
whole milk,detergent,,,,,,,,,
chicken,baking powder,,,,,,,,,
curd,butter,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
bottled beer,whole milk,,,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,white wine,,,,,,,,,
root vegetables,cleaner,,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
curd,whole milk,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
frankfurter,canned beer,other vegetables,potato products,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
cat food,pet care,oil,,,,,,,,
hamburger meat,baking powder,dessert,,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
